product_id,units_ordered,return_request_units,net_return_request_units,sessions,bounces,bounce_rate,stake_holder,style_number,style_name
371,4,2,2,1169,418,0.3575705731394354,Merchandising,4B130,Astrid
411,5,2,3,474,200,0.4219409282700422,Marketing,4B157,Anabelle Two Piece
537,6,3,3,1051,374,0.3558515699333968,Merchandising,4B366,Moonlight
815,2,1,1,275,166,0.6036363636363636,Marketing,4B297W,Daisy 
974,2,0,2,141,77,0.5460992907801419,Marketing,USP1083,Sabrina
999,3,2,1,293,131,0.447098976109215,Marketing,USP1073,Jaxton
1017,4,2,2,335,146,0.43582089552238806,Marketing,USP1074P,Luella Two Piece
1039,7,5,2,1452,595,0.4097796143250689,Merchandising,C161019,Kennedy Grace
1053,7,5,2,299,122,0.4080267558528428,Marketing,C161028,Palais
1060,6,4,2,259,79,0.305019305019305,Marketing,C161021,Sasha
1070,5,2,3,191,72,0.3769633507853403,Marketing,C161046,Greer Two Piece
1110,3,1,2,246,119,0.483739837398374,Marketing,FP2006P,Portrait Dress
1123,2,2,0,146,57,0.3904109589041096,Marketing,FP2048,Harbourside Dress
1124,7,4,3,150,86,0.5733333333333334,Marketing,FP2049,Golden Era Two Piece
1141,6,3,3,189,108,0.5714285714285714,Marketing,FP2186,Alto
1164,2,0,2,132,70,0.5303030303030303,Marketing,FP2086,Millie Skirt
1189,6,4,2,547,243,0.44424131627056673,Merchandising,FP2144,Pila
1224,1,1,0,28,11,0.39285714285714285,Marketing,FP2203,Giza
1297,2,1,1,172,78,0.45348837209302323,Marketing,FP2223,The Clara
1298,1,1,0,472,209,0.4427966101694915,Marketing,FP2224,The Fitzgerald
1301,1,0,1,140,62,0.44285714285714284,Marketing,FP2228,The Kensie
1305,2,1,1,512,188,0.3671875,Merchandising,FPMC107,The Sirene
1308,7,5,2,3434,1567,0.4563191613278975,Merchandising,FPMC117,The Deneuve
1313,3,2,1,404,162,0.400990099009901,Marketing,FP2301,The Annie
1315,1,0,1,528,194,0.36742424242424243,Merchandising,FP2305,The Victoria
1332,9,8,1,871,379,0.4351320321469575,Merchandising,FP2256,The Taurus
1340,2,0,2,101,40,0.39603960396039606,Marketing,FP2263,The Scorpius
1348,5,2,3,282,100,0.3546099290780142,Marketing,FP2281,The Saggitarius
1360,2,0,2,628,323,0.5143312101910829,Merchandising,FP2294,The Virgo
1382,3,2,1,179,79,0.441340782122905,Marketing,FP2431,The Scarlett
1385,4,3,1,292,119,0.4075342465753425,Marketing,FP2433,The Monroe
1390,4,1,3,754,241,0.3196286472148541,Merchandising,FP2442,The Middleton
1395,3,2,1,84,31,0.36904761904761907,Marketing,FP2212S0F1,The Gwen 
1396,1,1,0,65,27,0.4153846153846154,Marketing,FP2212S1F0,The Allison
1399,2,1,1,334,136,0.40718562874251496,Marketing,FP2212S3F5,The Lacey
1401,4,3,1,692,267,0.38583815028901736,Merchandising,FP2212S5F5,The Mae
1403,3,2,1,186,78,0.41935483870967744,Marketing,FP2213S3F0,The Sophie
1405,1,0,1,39,11,0.28205128205128205,Marketing,FP2213S5F4,The Eloise
1408,4,3,1,208,78,0.375,Marketing,FP2214S5F3,The Toni
1409,1,1,0,62,24,0.3870967741935484,Marketing,FP2215S1F1,The Madeline 
1410,1,1,0,29,13,0.4482758620689655,Marketing,FP2215S2F0,The Cora
1411,9,6,3,882,392,0.4444444444444444,Merchandising,FP2215S3F0,The Gypsy
1412,3,3,0,76,35,0.4605263157894737,Marketing,FP2215S5F4,The Lorelai
1414,2,1,1,103,40,0.3883495145631068,Marketing,FP2216S2F0,The Lenore
1416,6,5,1,116,52,0.4482758620689655,Marketing,FP2216S4F2,The Dawn
1417,10,7,3,369,120,0.3252032520325203,Marketing,FP2216S5F0,The Winnie
1419,4,1,3,202,70,0.3465346534653465,Marketing,FP2218S0F5,The Torrance
1420,2,1,1,41,9,0.21951219512195122,Marketing,FP2218S2F0,The Rainy
1421,5,4,1,391,156,0.3989769820971867,Marketing,FP2218S5F0,The Lorraine
1422,4,1,3,140,56,0.4,Marketing,FP2219S0F1,The Moana
1423,1,1,0,32,14,0.4375,Marketing,FP2219S0F4,The Tolly
1426,3,2,1,136,56,0.4117647058823529,Marketing,FP2219S2F3,The Dakota
1428,1,0,1,110,34,0.3090909090909091,Marketing,FP2219S4F0,The Annika
1431,4,3,1,57,23,0.40350877192982454,Marketing,FP2220S2F0,The Lily
1434,3,2,1,285,149,0.5228070175438596,Marketing,FP2220S5F0,The Cindy
1435,3,2,1,112,52,0.4642857142857143,Marketing,FP2319,The Irina Dress
1438,4,2,2,685,338,0.49343065693430654,Merchandising,FP2371,The Hanne Dress
1448,1,0,1,54,18,0.3333333333333333,Marketing,FP2390,The Marley Skirt
1451,2,2,0,78,43,0.5512820512820513,Marketing,FP2393,The Fernanda Pant
1452,3,1,2,142,54,0.38028169014084506,Marketing,FP2395,The Gaia Jumpsuit
1454,1,0,1,387,183,0.4728682170542636,Marketing,FP2399,The Candella Dress
1456,1,0,1,192,107,0.5572916666666666,Marketing,FP2408,The Chioma Pant
1457,1,0,1,126,54,0.42857142857142855,Marketing,FP2417,The Teddy Skirt
1462,9,6,3,1152,469,0.4071180555555556,Merchandising,FP2375,The Veronika Dress
1471,1,0,1,16,11,0.6875,Marketing,FP2418,The Rila Skirt
1475,1,0,1,137,50,0.36496350364963503,Marketing,FP2357,The Gilda Dress
1476,3,1,2,481,206,0.4282744282744283,Marketing,FP2335,The Tol Top
1479,3,0,3,956,523,0.547071129707113,Merchandising,FP2345,The Preetma Pant
1480,5,2,3,727,225,0.30949105914718017,Merchandising,FP2351,The Manfield Dress
1481,3,0,3,232,100,0.43103448275862066,Marketing,FP2353,The Tamu Coat
1486,2,0,2,54,26,0.48148148148148145,Marketing,FP2358,The Bryan Pant
1512,1,1,0,99,52,0.5252525252525253,Marketing,FP2318,The Tiegs Dress
1513,4,2,2,90,47,0.5222222222222223,Marketing,FP2348,The Christensen Dress
1522,2,0,2,250,137,0.548,Marketing,FP2339,The Rutson Top
1523,1,0,1,825,388,0.4703030303030303,Merchandising,FP2340,The Walton Top
1526,1,0,1,290,164,0.5655172413793104,Marketing,FP2424,The Ortiz Dress
1530,2,2,0,84,36,0.42857142857142855,Marketing,FPRV1024P,The Lucille Dress
1532,3,1,2,358,193,0.5391061452513967,Marketing,FP2334,The Sarr Jumpsuit
1533,10,7,3,624,339,0.5432692307692307,Merchandising,FPSB1028,The Kling Top
1535,1,0,1,223,105,0.47085201793721976,Marketing,FPSB1069,The Charriere Top
1538,1,0,1,1119,497,0.44414655942806075,Merchandising,FP2351P,The Shiona Dress
1547,3,1,2,156,64,0.41025641025641024,Marketing,FPSB1098,The Nguyen Dress
1550,4,1,3,124,42,0.3387096774193548,Marketing,FPMC295,The Pepper Dress
1554,4,3,1,375,171,0.456,Marketing,FP2468,The Feather Dress
1556,2,1,1,371,178,0.4797843665768194,Marketing,FP2469,The Gypset Dress
1558,1,0,1,56,17,0.30357142857142855,Marketing,FP2473,The Clover Dress
1559,2,2,0,646,270,0.4179566563467492,Merchandising,FP2471,The Liberty Dress
1560,1,1,0,822,404,0.49148418491484186,Merchandising,FP2474,The Meadow Dress
1562,2,1,1,247,122,0.4939271255060729,Marketing,FP2472,The Dharma Dress 
1563,1,0,1,384,155,0.4036458333333333,Marketing,FP2476,The Phoenix Jumpsuit
1564,1,1,0,195,123,0.6307692307692307,Marketing,FP2476P,The Cliff Jumpsuit
1565,3,1,2,175,67,0.38285714285714284,Marketing,FP2478,The Dusk Jumpsuit
1567,3,1,2,115,56,0.48695652173913045,Marketing,FP2552,The Sage Pant
1568,2,1,1,85,45,0.5294117647058824,Marketing,FP2479B,The Skye Pant
1569,6,3,3,637,284,0.44583987441130296,Merchandising,FP2444,The Sunset Dress
1571,1,0,1,89,34,0.38202247191011235,Marketing,FP2446,The Robertson Dress
1573,3,3,0,263,122,0.46387832699619774,Marketing,FP2448,The Rodeo Dress
1574,1,1,0,71,33,0.4647887323943662,Marketing,FP2449,The Melrose Dress
1575,2,1,1,228,99,0.4342105263157895,Marketing,FP2450,The Larchmont Dress
1578,5,3,2,298,120,0.40268456375838924,Marketing,FP2453,The Highland Dress
1579,4,3,1,45,24,0.5333333333333333,Marketing,FP2454,The Vine Dress
1584,3,1,2,136,44,0.3235294117647059,Marketing,FP2460,The Figeuroa Dress
1587,3,0,3,224,107,0.47767857142857145,Marketing,FP2464,The Rossmore Jumpsuit
1588,2,1,1,214,124,0.5794392523364486,Marketing,FP2557,The Tessa Jumpsuit
1589,4,3,1,220,85,0.38636363636363635,Marketing,FP2564,The Rae Jumpsuit
1590,4,1,3,1093,552,0.505032021957914,Merchandising,FP2555,The Jenna Dress
1592,1,0,1,87,37,0.42528735632183906,Marketing,FP2560,The Lottie Dress
1593,1,1,0,34,14,0.4117647058823529,Marketing,FP2562,The Kimmie Dress
1596,3,1,2,65,28,0.4307692307692308,Marketing,FP2565,The Ronnie Dress
1597,3,0,3,158,58,0.3670886075949367,Marketing,FP2558,The Haim Dress
1604,4,1,3,188,88,0.46808510638297873,Marketing,FP2569,The Onassis Two Piece
1607,6,4,2,577,221,0.3830155979202773,Merchandising,FP2571,The Margaux Dress
1610,3,0,3,2716,1229,0.4525036818851252,Merchandising,FP2574,The Goldie Set
1612,1,0,1,397,181,0.45591939546599497,Marketing,FP2579,The Jones Jumpsuit
1613,1,0,1,155,55,0.3548387096774194,Marketing,FP2582,The Helvin Pant
1307,0,0,0,621,240,0.3864734299516908,Merchandising,FPMC116,The Aurore
1406,0,0,0,31,15,0.4838709677419355,Marketing,FP2214S1F0,The Vera
1404,0,0,0,40,14,0.35,Marketing,FP2213S4F0,The Chandra
1570,0,0,0,33,19,0.5757575757575758,Marketing,FP2445,The Boulevard Dress
1582,0,0,0,41,16,0.3902439024390244,Marketing,FP2458,The Wilshire Dress
1507,0,0,0,23,12,0.5217391304347826,Marketing,FP2404,The Duma Top
1601,0,0,0,66,26,0.3939393939393939,Marketing,FP2566P,The Macgraw Dress
1603,0,0,0,65,32,0.49230769230769234,Marketing,FP2568P,The Hall Jumpsuit
1594,0,0,0,47,21,0.44680851063829785,Marketing,FP2561,The Marlow Skirt
1608,0,0,0,98,56,0.5714285714285714,Marketing,FP2572,The Tyler Dress
1606,0,0,0,94,33,0.35106382978723405,Marketing,FP2570P,The Farrah Dress
648,0,0,0,182,83,0.45604395604395603,Marketing,4B506B,Midnight Ryder
1296,0,0,0,490,184,0.37551020408163266,Marketing,FP2222,The Josephine
1302,0,0,0,123,53,0.43089430894308944,Marketing,FP2229,The Alexandrina
1402,0,0,0,67,22,0.3283582089552239,Marketing,FP2213S1F0,The Ella
1407,0,0,0,357,209,0.5854341736694678,Marketing,FP2214S2F1,The Arielle
1425,0,0,0,139,75,0.539568345323741,Marketing,FP2219S1F0,The Yvette
1459,0,0,0,22,7,0.3181818181818182,Marketing,FP2369,The Pernille Top
1469,0,0,0,34,17,0.5,Marketing,FP2415,The Jan Dress
1473,0,0,0,310,181,0.5838709677419355,Marketing,FP2420,The Julie Top
1482,0,0,0,44,25,0.5681818181818182,Marketing,FP2354,The Mislin Coat
1500,0,0,0,102,26,0.2549019607843137,Marketing,FPSB1094,The Soroya Dress
1504,0,0,0,101,48,0.4752475247524752,Marketing,FP2396,The Santo Dress
1508,0,0,0,28,12,0.42857142857142855,Marketing,FP2406,The Ramsey Dress
1529,0,0,0,137,68,0.49635036496350365,Marketing,FPRV1024,The Lulu Dress
1546,0,0,0,81,47,0.5802469135802469,Marketing,FPSB1097,The Effendy Dress
1553,0,0,0,241,106,0.43983402489626555,Marketing,FP2467,The Harmony Dress
1561,0,0,0,93,43,0.46236559139784944,Marketing,FP2475,The Mystic Dress
1566,0,0,0,419,157,0.3747016706443914,Marketing,FP2479,The Zappa Pant
1605,0,0,0,138,72,0.5217391304347826,Marketing,FP2569P,The Onassis Pant
